Size,TimeMicros,ArrayType,Threshold
47000,37342,0,0
47100,39085,0,0
47200,37750,0,0
47300,35228,0,0
47400,35977,0,0
47500,35454,0,0
47600,35923,0,0
47700,36204,0,0
47800,36847,0,0
47900,36292,0,0
48000,35888,0,0
48100,36762,0,0
48200,36069,0,0
48300,36908,0,0
48400,39259,0,0
48500,36654,0,0
48600,36399,0,0
48700,36972,0,0
48800,36935,0,0
48900,36422,0,0
49000,37135,0,0
49100,36885,0,0
49200,36345,0,0
49300,37005,0,0
49400,36770,0,0
49500,37066,0,0
49600,39308,0,0
49700,37089,0,0
49800,37606,0,0
49900,37241,0,0
50000,36777,0,0
50100,37272,0,0
50200,37786,0,0
50300,37430,0,0
50400,38619,0,0
50500,37880,0,0
50600,39133,0,0
50700,38291,0,0
50800,38541,0,0
50900,39209,0,0
51000,38488,0,0
51100,37885,0,0
51200,39672,0,0
51300,39943,0,0
51400,38916,0,0
51500,38847,0,0
51600,38511,0,0
51700,39063,0,0
51800,39380,0,0
51900,38981,0,0
52000,39479,0,0
52100,39307,0,0
52200,39385,0,0
52300,40601,0,0
52400,39666,0,0
52500,39696,0,0
52600,40292,0,0
52700,39452,0,0
52800,40101,0,0
52900,40239,0,0
53000,40514,0,0
53100,40538,0,0
53200,40622,0,0
53300,40458,0,0
53400,40564,0,0
53500,40923,0,0
53600,41186,0,0
53700,41842,0,0
53800,41458,0,0
53900,40284,0,0
54000,41514,0,0
54100,40866,0,0
54200,41298,0,0
54300,40861,0,0
54400,41193,0,0
54500,41051,0,0
54600,40812,0,0
54700,42932,0,0
54800,42274,0,0
54900,41884,0,0
55000,42335,0,0
55100,42534,0,0
55200,42650,0,0
55300,42085,0,0
55400,41709,0,0
55500,42918,0,0
55600,43064,0,0
55700,43502,0,0
55800,42938,0,0
55900,43088,0,0
56000,43110,0,0
56100,42563,0,0
56200,42657,0,0
56300,43108,0,0
56400,43117,0,0
56500,43846,0,0
56600,42965,0,0
56700,43323,0,0
56800,42979,0,0
56900,43754,0,0
57000,43371,0,0
57100,43400,0,0
57200,43793,0,0
57300,43986,0,0
57400,44142,0,0
57500,44785,0,0
57600,43618,0,0
57700,44212,0,0
57800,44711,0,0
57900,44183,0,0
58000,43985,0,0
58100,44056,0,0
58200,44949,0,0
58300,44444,0,0
58400,44605,0,0
58500,44906,0,0
58600,44511,0,0
58700,45035,0,0
58800,46107,0,0
58900,45058,0,0
59000,45517,0,0
59100,45487,0,0
59200,44843,0,0
59300,49545,0,0
59400,46977,0,0
59500,45875,0,0
59600,46238,0,0
59700,47820,0,0
59800,45384,0,0
59900,46335,0,0
60000,47652,0,0
60100,46716,0,0
60200,47167,0,0
60300,47135,0,0
60400,46735,0,0
60500,47300,0,0
60600,47657,0,0
60700,46901,0,0
60800,47597,0,0
60900,46941,0,0
61000,46968,0,0
61100,47496,0,0
61200,48238,0,0
61300,47744,0,0
61400,48385,0,0
61500,48738,0,0
61600,47997,0,0
61700,47799,0,0
61800,48479,0,0
61900,46924,0,0
62000,47165,0,0
62100,47860,0,0
62200,48424,0,0
62300,47151,0,0
62400,47654,0,0
62500,48255,0,0
62600,48944,0,0
62700,49424,0,0
62800,48551,0,0
62900,48412,0,0
63000,48947,0,0
63100,49216,0,0
63200,49439,0,0
63300,49002,0,0
63400,49665,0,0
63500,49972,0,0
63600,49816,0,0
63700,49096,0,0
63800,48791,0,0
63900,49139,0,0
64000,48368,0,0
64100,50109,0,0
64200,49548,0,0
64300,49199,0,0
64400,50899,0,0
64500,48688,0,0
64600,50567,0,0
64700,51334,0,0
64800,51093,0,0
64900,50314,0,0
65000,50431,0,0
65100,51177,0,0
65200,51384,0,0
65300,51761,0,0
65400,50119,0,0
65500,50640,0,0
65600,50080,0,0
65700,51142,0,0
